PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,PRES_ADJUSTED (decibar),PRES_ADJUSTED_QC,PRES_ADJUSTED_ERROR (decibar),PRES_ADJUSTED_ERROR_QC,TEMP_ADJUSTED (degree_Celsius),TEMP_ADJUSTED_QC,TEMP_ADJUSTED_ERROR (degree_Celsius),TEMP_ADJUSTED_ERROR_QC,PSAL_ADJUSTED (psu),PSAL_ADJUSTED_QC,PSAL_ADJUSTED_ERROR (psu),PSAL_ADJUSTED_ERROR_QC
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,14.9,1,35.897,1,29.222,1,14.9,1,2.4,0,29.222,1,0.002,0,35.897,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,24.7,1,35.897,1,29.223,1,24.7,1,2.4,0,29.223,1,0.002,0,35.897,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,34.8,1,35.896,1,29.226,1,34.8,1,2.4,0,29.226,1,0.002,0,35.896,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,45.0,1,35.896,1,29.229,1,45.0,1,2.4,0,29.229,1,0.002,0,35.896,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,54.7,1,35.992,1,29.253,1,54.7,1,2.4,0,29.253,1,0.002,0,35.992,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,64.7,1,36.417,1,28.733,1,64.7,1,2.4,0,28.733,1,0.002,0,36.417,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,74.0,1,36.484,1,26.989,1,74.0,1,2.4,0,26.989,1,0.002,0,36.484,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,84.4,1,36.521,1,25.378,1,84.4,1,2.4,0,25.378,1,0.002,0,36.521,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,94.0,1,36.294,1,22.651,1,94.0,1,2.4,0,22.651,1,0.002,0,36.294,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,104.5,1,36.114,1,20.832,1,104.5,1,2.4,0,20.832,1,0.002,0,36.114,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,114.5,1,36.068,1,19.988,1,114.5,1,2.4,0,19.988,1,0.002,0,36.068,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,124.5,1,35.998,1,18.871,1,124.5,1,2.4,0,18.871,1,0.002,0,35.998,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,134.1,1,35.853,1,17.373,1,134.1,1,2.4,0,17.373,1,0.002,0,35.853,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,144.5,1,35.682,1,15.925,1,144.5,1,2.4,0,15.925,1,0.002,0,35.682,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,154.2,1,35.53,1,14.724,1,154.2,1,2.4,0,14.724,1,0.002,0,35.53,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,164.7,1,35.434,1,13.96,1,164.7,1,2.4,0,13.96,1,0.002,0,35.434,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,174.5,1,35.323,1,13.154,1,174.5,1,2.4,0,13.154,1,0.002,0,35.323,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,184.8,1,35.209,1,12.302,1,184.8,1,2.4,0,12.302,1,0.002,0,35.209,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,194.4,1,35.142,1,11.818,1,194.4,1,2.4,0,11.818,1,0.002,0,35.142,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,211.8,1,35.036,1,11.05,1,211.8,1,2.4,0,11.05,1,0.002,0,35.036,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,237.1,1,34.965,1,10.462,1,237.1,1,2.4,0,10.462,1,0.002,0,34.965,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,262.0,1,34.913,1,10.008,1,262.0,1,2.4,0,10.008,1,0.002,0,34.913,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,286.9,1,34.875,1,9.695,1,286.9,1,2.4,0,9.695,1,0.002,0,34.875,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,312.2,1,34.829,1,9.327,1,312.2,1,2.4,0,9.327,1,0.002,0,34.829,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,337.1,1,34.786,1,8.973,1,337.1,1,2.4,0,8.973,1,0.002,0,34.786,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,361.6,1,34.769,1,8.715,1,361.6,1,2.4,0,8.715,1,0.002,0,34.769,1,0.01,0
7900520,2019-05-04T10:33:00Z,1,-6.908,-29.155,1,381.0,1,34.747,1,8.476,1,381.0,1,2.4,0,8.476,1,0.002,0,34.747,1,0.01,0
7900520,2019-05-05T05:49:20Z,1,-6.92246,-29.17231,1,6.5,1,35.875,1,29.21,1,6.5,1,2.4,0,29.21,1,0.002,0,35.875,1,0.01,0
