,Random_Knn,Random_Lightgbm,Random_GradientBoosting,Random_Catboost,Uncertainty_Knn,Uncertainty_Lightgbm,Uncertainty_GradientBoosting,Uncertainty_Catboost,Entropy_Knn,Entropy_Lightgbm,Entropy_GradientBoosting,Entropy_Catboost,Margin_Knn,Margin_Lightgbm,Margin_GradientBoosting,Margin_Catboost,Knn_light,Knn_gradient,Knn_catboost,light_gradient,light_catboost,gradient_catboost,lg_gb_cb,Knn_gb_cb,Knn_lg_cb,Knn_lg_gb,Knn_lg_gb_cb
0,0,0,0.0,0.328899513,0.0,0,0,0.328899513,0.0,0,0,0.328899513,0.0,0,0,0.328899513,0.290094931,0.290094931,0.290094931,0,0.0,0.0,0.0,0.217683288,0.217683288,0.0,0.102955353
1,0,0,0.0,0.328899513,0.328899513,0,0,0.632328031,0.328899513,0,0,0.632328031,0.328899513,0,0,0.632328031,0.290094931,0.290094931,0.468021674,0,0.0,0.0,0.427091633,0.375004808,0.375004808,0.039887831,0.2068368
2,0,0,0.0,0.328899513,0.328899513,0,0,0.720427264,0.328899513,0,0,0.720427264,0.328899513,0,0,0.720427264,0.468021674,0.375004808,0.468021674,0,0.052833568,0.0,0.566565168,0.328899513,0.356870291,0.668978166,0.365987683
3,0,0,0.0,0.328899513,0.309719135,0,0,0.731327189,0.309719135,0,0,0.731327189,0.309719135,0,0,0.731327189,0.559942859,0.368823813,0.536586177,0,0.270011315,0.0,0.573423478,0.375004808,0.383923312,0.668978166,0.720427264
4,0,0,0.0,0.328899513,0.366807823,0,0,0.731327189,0.366807823,0,0,0.731327189,0.366807823,0,0,0.731327189,0.562588556,0.368823813,0.526045964,0,0.457590727,0.0,0.64503324,0.427091633,0.558102278,0.697628732,0.720427264
5,0,0,0.0,0.328899513,0.366807823,0,0,0.731327189,0.366807823,0,0,0.731327189,0.366807823,0,0,0.731327189,0.572099641,0.377631621,0.555808222,0,0.71490709,0.0,0.677750695,0.443722341,0.647953899,0.697628732,0.731327189
6,0,0,0.0,0.328899513,0.450491917,0,0,0.731327189,0.450491917,0,0,0.731327189,0.450491917,0,0,0.731327189,0.572099641,0.377631621,0.663050663,0,0.720427264,0.026769328,0.668978166,0.592595457,0.695009253,0.697628732,0.731327189
7,0,0,0.0,0.328899513,0.504161868,0,0,0.731327189,0.504161868,0,0,0.731327189,0.504161868,0,0,0.731327189,0.631878024,0.377631621,0.665973478,0,0.720427264,0.184744234,0.680764074,0.695009253,0.744194673,0.697628732,0.731327189
8,0,0,0.0,0.290094931,0.57471,0,0,0.731327189,0.57471,0,0,0.731327189,0.57471,0,0,0.731327189,0.623136232,0.377631621,0.665973478,0,0.720427264,0.427091633,0.680764074,0.744194673,0.744194673,0.697628732,0.759779722
9,0,0,0.0,0.328899513,0.57471,0,0,0.731327189,0.57471,0,0,0.731327189,0.57471,0,0,0.731327189,0.623136232,0.377631621,0.665973478,0,0.720427264,0.52927132,0.731327189,0.738912661,0.749432826,0.697628732,0.759779722
10,0,0,0.0,0.328899513,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.648176434,0.377631621,0.665973478,0,0.720427264,0.558102278,0.731327189,0.738912661,0.749432826,0.714268598,0.759779722
11,0,0,0.0,0.338327945,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.69462055,0.375579283,0.665973478,0,0.725900432,0.613238937,0.731327189,0.744194673,0.749432826,0.714268598,0.759779722
12,0,0,0.0,0.328899513,0.517404818,0,0,0.731327189,0.517404818,0,0,0.731327189,0.517404818,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.725900432,0.613238937,0.731327189,0.749432826,0.749432826,0.714268598,0.759779722
13,0,0,0.0,0.309719135,0.517404818,0,0,0.731327189,0.517404818,0,0,0.731327189,0.517404818,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.725900432,0.626023412,0.731327189,0.749432826,0.749432826,0.714268598,0.759779722
14,0,0,0.0,0.328899513,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.725900432,0.626023412,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
15,0,0,0.0,0.328899513,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.626023412,0.731327189,0.749432826,0.749432826,0.714268598,0.754627664
16,0,0,0.0,0.338327945,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.725900432,0.626023412,0.731327189,0.749432826,0.749432826,0.714268598,0.749432826
17,0,0,0.0,0.299963469,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.588031613,0,0,0.731327189,0.69462055,0.377631621,0.665973478,0,0.720427264,0.632328031,0.731327189,0.749432826,0.749432826,0.714268598,0.749432826
