,Random_Knn_F1,Random_Lightgbm_F1,Random_GradientBoosting_F1,Random_Catboost_F1,Uncertainty_Knn_F1,Uncertainty_Lightgbm_F1,Uncertainty_GradientBoosting_F1,Uncertainty_Catboost_F1,Random_Knn_kappa,Random_Lightgbm_kappa,Random_GradientBoosting_kappa,Random_Catboost_kappa,Uncertainty_Knn_kappa,Uncertainty_Lightgbm_kappa,Uncertainty_GradientBoosting_kappa,Uncertainty_Catboost_kappa
0,0.798809765,0.881437978,0.734355346,0.96121738,0.798809765,0.881437978,0.734355346,0.96121738,0.722368552,0.840016404,0.657391307,0.945829124,0.722368552,0.840016404,0.657391307,0.945829124
1,0.798809765,0.881437978,0.72760324,0.952453129,0.798809765,0.864739069,0.734355346,0.966425839,0.722368552,0.840016404,0.649557368,0.933658661,0.722368552,0.816724633,0.657391307,0.952998132
2,0.799147468,0.881437978,0.72760324,0.957026483,0.798809765,0.876363506,0.734355346,0.969550973,0.722895097,0.840016404,0.649557368,0.940063261,0.722368552,0.833522596,0.657391307,0.957055735
3,0.799147468,0.881437978,0.72760324,0.952910959,0.798809765,0.876363506,0.731263299,0.966103879,0.722895097,0.840016404,0.649557368,0.934280023,0.722368552,0.833522596,0.653799001,0.952257076
4,0.799972956,0.881437978,0.72760324,0.97580122,0.798809765,0.876010686,0.726096738,0.976143335,0.72394557,0.840016404,0.649557368,0.966011862,0.722368552,0.832745792,0.650340315,0.96650106
5,0.799972956,0.881437978,0.6957508,0.962475141,0.798809765,0.881155707,0.76070668,0.969434263,0.72394557,0.840016404,0.613121279,0.947406571,0.722368552,0.839612759,0.691843363,0.956752299
6,0.799972956,0.881437978,0.731363278,0.958010146,0.798809765,0.881437978,0.765112806,0.974110445,0.72394557,0.840016404,0.653915027,0.941244256,0.722368552,0.840016404,0.697048849,0.96337401
7,0.813252206,0.881437978,0.731363278,0.961664054,0.798809765,0.881437978,0.762179888,0.972056273,0.74103866,0.840016404,0.653915027,0.946306,0.722368552,0.840016404,0.692288496,0.960589124
8,0.813252206,0.881437978,0.731363278,0.960138422,0.798809765,0.881437978,0.762168703,0.972039421,0.74103866,0.840016404,0.653915027,0.944163788,0.722368552,0.840016404,0.692257231,0.960556361
9,0.813252206,0.881437978,0.745669354,0.962733527,0.798809765,0.878716912,0.775387733,0.979233432,0.74103866,0.840016404,0.674330017,0.947770151,0.722368552,0.836120522,0.709134945,0.970684059
10,0.813252206,0.870221871,0.740086361,0.972751604,0.798809765,0.881155707,0.77407523,0.979925318,0.74103866,0.82567616,0.666001865,0.961633393,0.722368552,0.839612759,0.707615885,0.971612007
11,0.813252206,0.870221871,0.744284572,0.978285492,0.798809765,0.881437978,0.765301355,0.983626287,0.74103866,0.82567616,0.672766482,0.969470806,0.722368552,0.840016404,0.695952191,0.976771491
12,0.813252206,0.870221871,0.73170924,0.975527862,0.798809765,0.878716912,0.775387733,0.985823268,0.74103866,0.82567616,0.65443728,0.965559685,0.722368552,0.836120522,0.709134945,0.979918657
13,0.813252206,0.870221871,0.745669354,0.975163738,0.798809765,0.881155707,0.775387733,0.98694018,0.74103866,0.82567616,0.674330017,0.965109837,0.722368552,0.839612759,0.709134945,0.981516904
14,0.813252206,0.870221871,0.745669354,0.974037368,0.798809765,0.881437978,0.77407523,0.98347553,0.74103866,0.82567616,0.674330017,0.96356084,0.722368552,0.840016404,0.707615885,0.976571789
15,0.813252206,0.870221871,0.745669354,0.958813839,0.798809765,0.881437978,0.77407523,0.986577608,0.74103866,0.82567616,0.674330017,0.942050918,0.722368552,0.840016404,0.707615885,0.980992203
16,0.818859386,0.870221871,0.744485294,0.95680177,0.798769148,0.881437978,0.77407523,0.992861487,0.748305464,0.82567616,0.672998677,0.939397647,0.722316544,0.840016404,0.707615885,0.989917924
17,0.818859386,0.870221871,0.734701903,0.957324406,0.798769148,0.881437978,0.77407523,0.992862401,0.748305464,0.82567616,0.657913777,0.94011036,0.722316544,0.840016404,0.707615885,0.989918676
18,0.818898686,0.870221871,0.745669354,0.950841048,0.798769148,0.881437978,0.77407523,0.992770776,0.748356499,0.82567616,0.674330017,0.931097824,0.722316544,0.840016404,0.707615885,0.989786674
19,0.818898686,0.870221871,0.745669354,0.951444296,0.798769148,0.880654339,0.768351547,0.992738091,0.748356499,0.82567616,0.674330017,0.931914375,0.722316544,0.838895523,0.698750677,0.989740908
20,0.818898686,0.870221871,0.760435572,0.951357687,0.798769148,0.881187062,0.775387733,0.992677389,0.748356499,0.82567616,0.691562652,0.93178638,0.722316544,0.839657601,0.709134945,0.989653221
21,0.818898686,0.852526838,0.750953085,0.947192448,0.798769148,0.881155707,0.775387733,0.992676921,0.748356499,0.801180633,0.677235729,0.926156309,0.722316544,0.839612759,0.709134945,0.989652835
