,Random_Knn_kappa,Random_Lightgbm_kappa,Random_GradientBoosting_kappa,Random_Catboost_kappa,Uncertainty_Knn_kappa,Uncertainty_Lightgbm_kappa,Uncertainty_GradientBoosting_kappa,Uncertainty_Catboost_kappa,Random_Knn_F1,Random_Lightgbm_F1,Random_GradientBoosting_F1,Random_Catboost_F1,Uncertainty_Knn_F1,Uncertainty_Lightgbm_F1,Uncertainty_GradientBoosting_F1,Uncertainty_Catboost_F1
0,0.300544455,0.061505339,0.555140179,0.202760942,0.300544455,0.061505339,0.555140179,0.202760942,0.301158301,0.061674009,0.555910543,0.203252033,0.301158301,0.061674009,0.555910543,0.203252033
1,0.300544455,0.061505339,0.439805997,0.224373113,0.300544455,0.267144796,0.326354281,0.224373113,0.301158301,0.061674009,0.440559441,0.224899598,0.301158301,0.267716535,0.326996198,0.224899598
2,0.300544455,0.061505339,0.545232396,0.224373113,0.300544455,0.267144796,0.158605973,0.202760942,0.301158301,0.061674009,0.546031746,0.224899598,0.301158301,0.267716535,0.158995816,0.203252033
3,0.300544455,0.061505339,0.552291159,0.195439884,0.300544455,0.267144796,0.267144796,0.086326512,0.301158301,0.061674009,0.553054662,0.195918367,0.301158301,0.267716535,0.267716535,0.086580087
4,0.300544455,0,0.548739318,0.224373113,0.300544455,0.267144796,0.428827288,0.102712513,0.301158301,0,0.549520767,0.224899598,0.301158301,0.267716535,0.429577465,0.103004292
5,0.300544455,0.061505339,0.547621646,0.180617955,0.300544455,0.31354777,0.430356326,0.231462497,0.301158301,0.061674009,0.548387097,0.181069959,0.301158301,0.314176245,0.431095406,0.232
6,0.300544455,0.061505339,0.556930861,0.217226853,0.300544455,0.553007658,0.232410698,0.231462497,0.301158301,0.061674009,0.557692308,0.217741935,0.301158301,0.553745928,0.232931727,0.232
7,0.300544455,0.061505339,0.551592782,0.217226853,0.300544455,0.416556746,0.606079032,0.231462497,0.301158301,0.061674009,0.552380952,0.217741935,0.301158301,0.417266187,0.606811146,0.232
8,0.300544455,0.069985252,0.555140179,0.224373113,0.300544455,0.416556746,0.566121973,0.231462497,0.301158301,0.070175439,0.555910543,0.224899598,0.301158301,0.417266187,0.566878981,0.232
9,0.300544455,0.061505339,0.439805997,0.224373113,0.300544455,0.415049666,0.589755098,0.224373113,0.301158301,0.061674009,0.440559441,0.224899598,0.301158301,0.415770609,0.59047619,0.224899598
10,0.300544455,0.061505339,0.552291159,0.217226853,0.300544455,0.4334469,0.609508699,0.224373113,0.301158301,0.061674009,0.553054662,0.217741935,0.301158301,0.434163701,0.610271903,0.224899598
11,0.300544455,0.061505339,0.256185219,0.217226853,0.300544455,0.4334469,0.62275104,0.245473329,0.301158301,0.061674009,0.256809339,0.217741935,0.301158301,0.434163701,0.62345679,0.246031746
12,0.300544455,0.061505339,0.553360855,0.224373113,0.300544455,0.4334469,0.617006601,0.202760942,0.301158301,0.061674009,0.554140127,0.224899598,0.301158301,0.434163701,0.617737003,0.203252033
13,0.300544455,0.061505339,0.452216363,0.217226853,0.300544455,0.4334469,0.611792954,0.202760942,0.301158301,0.061674009,0.452961672,0.217741935,0.301158301,0.434163701,0.6125,0.203252033
14,0.300544455,0.061505339,0.449060353,0.217226853,0.300544455,0.557705049,0.585263651,0.23849568,0.301158301,0.061674009,0.44982699,0.217741935,0.301158301,0.558441558,0.585987261,0.239043825
15,0.300544455,0.061505339,0.287339765,0.279551128,0.300544455,0.552291159,0.618909713,0.569773445,0.301158301,0.061674009,0.287937743,0.280155642,0.301158301,0.553054662,0.619631902,0.570512821
16,0.300544455,0.103177921,0.434335817,0.252396098,0.300544455,0.554084194,0.593672073,0.565174866,0.301158301,0.103448276,0.435087719,0.252964427,0.301158301,0.55483871,0.594427245,0.565916399
17,0.300544455,0.069985252,0.555140179,0.252396098,0.300544455,0.557705049,0.60553155,0.609876494,0.301158301,0.070175439,0.555910543,0.252964427,0.301158301,0.558441558,0.60625,0.6105919
18,0.300544455,0.061505339,0.409127369,0.245473329,0.300544455,0.557705049,0.60553155,0.609876494,0.301158301,0.061674009,0.409893993,0.246031746,0.301158301,0.558441558,0.60625,0.6105919
