,Knn_light,Knn_gradient,Knn_catboost,light_gradient,light_catboost,gradient_catboost,lg_gb_cb,Knn_gb_cb,Knn_lg_cb,Knn_lg_gb,Knn_lg_gb_cb
0,0.800580277,0.800580277,0.800580277,0,0.951683363,0.951683363,0.712377049,0.833860029,0.833860029,0.800580277,0.903735196
1,0.800580277,0.800580277,0.803714876,0,0.952446589,0.952446589,0.803716255,0.83354024,0.83354024,0.800580277,0.90590443
2,0.800121384,0.800121384,0.822943637,0,0.953937885,0.953937885,0.875080535,0.833681971,0.833681971,0.800121384,0.901869315
3,0.803374563,0.803374563,0.829263585,0,0.954506775,0.954506775,0.898275379,0.836954602,0.836954602,0.803374563,0.944153634
4,0.806510434,0.806510434,0.828341902,0,0.953483808,0.953483808,0.914634989,0.837039918,0.837039918,0.806510434,0.911420426
5,0.806510434,0.806510434,0.827841204,0,0.954350881,0.954350881,0.92956883,0.857598116,0.857598116,0.806510434,0.948450941
6,0.806510434,0.806510434,0.811993414,0,0.953902447,0.953902447,0.932678964,0.859695726,0.859695726,0.806510434,0.951612387
7,0.806510434,0.806510434,0.826049092,0,0.960643361,0.960643361,0.933640928,0.859824695,0.859824695,0.806510434,0.951512613
8,0.805769624,0.805769624,0.829148203,0,0.957043609,0.957043609,0.945136069,0.873894552,0.873894552,0.805769624,0.95730584
9,0.806461507,0.806461507,0.836588945,0,0.971388202,0.971388202,0.963468513,0.874830761,0.874830761,0.806461507,0.961513583
10,0.806461507,0.806461507,0.831107465,0,0.970293853,0.970293853,0.966134017,0.877368031,0.877368031,0.806461507,0.973578403
11,0.806461507,0.806461507,0.824551551,0,0.973226928,0.973226928,0.966439865,0.876637591,0.876637591,0.806461507,0.975653339
12,0.812612307,0.812612307,0.829754349,0,0.971182575,0.971182575,0.968406548,0.876312954,0.876312954,0.812612307,0.977450763
13,0.81572548,0.81572548,0.83262416,0,0.969640624,0.969640624,0.970095968,0.874549779,0.874549779,0.81572548,0.97284184
14,0.818449198,0.818449198,0.836427709,0,0.968456784,0.968456784,0.970242577,0.874651811,0.874651811,0.818449198,0.974981767
15,0.820010072,0.820010072,0.839179954,0,0.968264643,0.968264643,0.971930856,0.874503278,0.874503278,0.820010072,0.978585293
16,0.820247726,0.820247726,0.840183839,0,0.965721946,0.965721946,0.972807103,0.874460932,0.874460932,0.820247726,0.978251192
17,0.820247726,0.820247726,0.839192857,0,0.969018051,0.969018051,0.974377363,0.880002702,0.880002702,0.820247726,0.983757514
18,0.821865469,0.821865469,0.840875529,0,0.962637922,0.962637922,0.975579578,0.883174582,0.883174582,0.821865469,0.984071136
19,0.821865469,0.821865469,0.842835993,0,0.963146367,0.963146367,0.974723847,0.88871054,0.88871054,0.821865469,0.990477412
20,0.821865469,0.821865469,0.837419229,0,0.961205393,0.961205393,0.972965947,0.888011246,0.888011246,0.821865469,0.988418224
21,0.821904953,0.821904953,0.836004203,0,0.972110787,0.972110787,0.974754878,0.882948562,0.882948562,0.821904953,0.988239806
22,0.821904953,0.821904953,0.837681159,0,0.976316128,0.976316128,0.974883539,0.88314493,0.88314493,0.821904953,0.988132937
23,0.817667654,0.817667654,0.847150433,0,0.974795312,0.974795312,0.975682802,0.88314493,0.88314493,0.817667654,0.991089172
24,0.817667654,0.817667654,0.849973053,0,0.974382022,0.974382022,0.976490099,0.884819926,0.884819926,0.817667654,0.988156425
25,0.81786664,0.81786664,0.857343499,0,0.97353479,0.97353479,0.977059606,0.88493907,0.88493907,0.81786664,0.986687002
26,0.81786664,0.81786664,0.852821715,0,0.971472334,0.971472334,0.973415265,0.879382177,0.879382177,0.81786664,0.985934318
