,Auto_Kappa,Auto_F1,IF_Kappa,IF_F1,OCSVM_Kappa,OCSVM_F1,Random_Kappa,Random_F1
0,0.328899513,0.329545455,0.328899513,0.329545455,0.328899513,0.329545455,0.328899513,0.329545455
1,0.328899513,0.329545455,0.328899513,0.329545455,0.328899513,0.329545455,0.328899513,0.329545455
2,0.328899513,0.329545455,0.328899513,0.329545455,0.319363856,0.32,0.328899513,0.329545455
3,0.328899513,0.329545455,0.299963469,0.300578035,0.309719135,0.310344828,0.328899513,0.329545455
4,0.338327945,0.338983051,0.319363856,0.32,0.328899513,0.329545455,0.328899513,0.329545455
5,0.328899513,0.329545455,0.328899513,0.329545455,0.328899513,0.329545455,0.309719135,0.310344828
6,0.328899513,0.329545455,0.328899513,0.329545455,0.328899513,0.329545455,0.290094931,0.290697674
7,0.328899513,0.329545455,0.328899513,0.329545455,0.328899513,0.329545455,0.328899513,0.329545455
8,0.328899513,0.329545455,0.299963469,0.300578035,0.328899513,0.329545455,0.328899513,0.329545455
9,0.328899513,0.329545455,0.626023412,0.626728111,0.328899513,0.329545455,0.328899513,0.329545455
10,0.328899513,0.329545455,0.692343993,0.692982456,0.328899513,0.329545455,0.328899513,0.329545455
11,0.328899513,0.329545455,0.692343993,0.692982456,0.328899513,0.329545455,0.328899513,0.329545455
12,0.328899513,0.329545455,0.709339299,0.70995671,0.328899513,0.329545455,0.328899513,0.329545455
13,0.328899513,0.329545455,0.709339299,0.70995671,0.328899513,0.329545455,0.328899513,0.329545455
14,0.328899513,0.329545455,0.686579443,0.68722467,0.319363856,0.32,0.328899513,0.329545455
15,0.328899513,0.329545455,0.650900887,0.65158371,0.328899513,0.329545455,0.328899513,0.329545455
16,0.328899513,0.329545455,0.638575299,0.639269406,0.309719135,0.310344828,0.328899513,0.329545455
17,0.328899513,0.329545455,0.638575299,0.639269406,0.309719135,0.310344828,0.299963469,0.300578035
18,0.328899513,0.329545455,0.638575299,0.639269406,0.328899513,0.329545455,0.309719135,0.310344828
19,0.328899513,0.329545455,0.626023412,0.626728111,0.328899513,0.329545455,0.299963469,0.300578035
20,0.319363856,0.32,0.650900887,0.65158371,0.328899513,0.329545455,0.290094931,0.290697674
21,0.328899513,0.329545455,0.593611777,0.594339623,0.328899513,0.329545455,0.290094931,0.290697674
22,0.328899513,0.329545455,0.593611777,0.594339623,0.328899513,0.329545455,0.328899513,0.329545455
23,0.309719135,0.310344828,0.593611777,0.594339623,0.328899513,0.329545455,0.319363856,0.32
24,0.328899513,0.329545455,0.626023412,0.626728111,0.309719135,0.310344828,0.328899513,0.329545455
25,0.299963469,0.300578035,0.593611777,0.594339623,0.299963469,0.300578035,0.299963469,0.300578035
26,0.299963469,0.300578035,0.626023412,0.626728111,0.328899513,0.329545455,0.319363856,0.32
27,0.299963469,0.300578035,0.593611777,0.594339623,0.328899513,0.329545455,0.319363856,0.32
28,0.290094931,0.290697674,0.626023412,0.626728111,0.319363856,0.32,0.328899513,0.329545455
29,0.299963469,0.300578035,0.580216739,0.580952381,0.328899513,0.329545455,0.328899513,0.329545455
30,0.299963469,0.300578035,0.58694587,0.587677725,0.328899513,0.329545455,0.328899513,0.329545455
31,0.290094931,0.290697674,0.580216739,0.580952381,0.328899513,0.329545455,0.328899513,0.329545455
32,0.299963469,0.300578035,0.58694587,0.587677725,0.328899513,0.329545455,0.319363856,0.32
33,0.299963469,0.300578035,0.580216739,0.580952381,0.319363856,0.32,0.319363856,0.32
34,0.299963469,0.300578035,0.573423478,0.574162679,0.328899513,0.329545455,0.328899513,0.329545455
35,0.290094931,0.290697674,0.580216739,0.580952381,0.328899513,0.329545455,0.290094931,0.290697674
36,0.299963469,0.300578035,0.580216739,0.580952381,0.328899513,0.329545455,0.309719135,0.310344828
37,0.299963469,0.300578035,0.58694587,0.587677725,0.319363856,0.32,0.328899513,0.329545455
38,0.299963469,0.300578035,0.580216739,0.580952381,0.319363856,0.32,0.328899513,0.329545455
39,0.290094931,0.290697674,0.58694587,0.587677725,0.328899513,0.329545455,0.299963469,0.300578035
40,0.299963469,0.300578035,0.580216739,0.580952381,0.328899513,0.329545455,0.319363856,0.32
41,0.290094931,0.290697674,0.580216739,0.580952381,0.319363856,0.32,0.328899513,0.329545455
42,0.290094931,0.290697674,0.580216739,0.580952381,0.319363856,0.32,0.290094931,0.290697674
43,0.299963469,0.300578035,0.580216739,0.580952381,0.319363856,0.32,0.319363856,0.32
44,0.299963469,0.300578035,0.531264368,0.532019704,0.328899513,0.329545455,0.319363856,0.32
45,0.290094931,0.290697674,0.580216739,0.580952381,0.319363856,0.32,0.319363856,0.32
46,0.290094931,0.290697674,0.580216739,0.580952381,0.328899513,0.329545455,0.328899513,0.329545455
47,0.299963469,0.300578035,0.580216739,0.580952381,0.319363856,0.32,0.328899513,0.329545455
48,0.299963469,0.300578035,0.580216739,0.580952381,0.338327945,0.338983051,0.238988574,0.239520958
49,0.299963469,0.300578035,0.606757448,0.607476636,0.319363856,0.32,0.328899513,0.329545455
50,0.299963469,0.300578035,0.566565168,0.567307692,0.319363856,0.32,0.328899513,0.329545455
51,0.299963469,0.300578035,0.552649625,0.553398058,0.328899513,0.329545455,0.299963469,0.300578035
52,0.299963469,0.300578035,0.559640869,0.560386473,0.328899513,0.329545455,0.290094931,0.290697674
53,0.299963469,0.300578035,0.552649625,0.553398058,0.328899513,0.329545455,0.309719135,0.310344828
54,0.299963469,0.300578035,0.559640869,0.560386473,0.328899513,0.329545455,0.309719135,0.310344828
55,0.299963469,0.300578035,0.552649625,0.553398058,0.328899513,0.329545455,0.309719135,0.310344828
56,0.299963469,0.300578035,0.552649625,0.553398058,0.328899513,0.329545455,0.319363856,0.32
57,0.299963469,0.300578035,0.552649625,0.553398058,0.328899513,0.329545455,0.309719135,0.310344828
58,0.290094931,0.290697674,0.538462379,0.539215686,0.328899513,0.329545455,0.328899513,0.329545455
59,0.290094931,0.290697674,0.552649625,0.553398058,0.328899513,0.329545455,0.290094931,0.290697674
60,0.290094931,0.290697674,0.552649625,0.553398058,0.319363856,0.32,0.299963469,0.300578035
61,0.290094931,0.290697674,0.509240312,0.51,0.319363856,0.32,0.319363856,0.32
62,0.299963469,0.300578035,0.5166544,0.517412935,0.338327945,0.338983051,0.280111552,0.280701754
63,0.299963469,0.300578035,0.455200045,0.455958549,0.328899513,0.329545455,0.299963469,0.300578035
64,0.290094931,0.290697674,0.54559046,0.546341463,0.290094931,0.290697674,0.280111552,0.280701754
65,0.299963469,0.300578035,0.455200045,0.455958549,0.319363856,0.32,0.319363856,0.32
66,0.299963469,0.300578035,0.494188443,0.494949495,0.290094931,0.290697674,0.328899513,0.329545455
67,0.299963469,0.300578035,0.559640869,0.560386473,0.328899513,0.329545455,0.265250914,0.265895954
68,0.299963469,0.300578035,0.559640869,0.560386473,0.299963469,0.300578035,0.315706679,0.316384181
69,0.290094931,0.290697674,0.559640869,0.560386473,0.290094931,0.290697674,0.285046067,0.285714286
70,0.299963469,0.300578035,0.552649625,0.553398058,0.309719135,0.310344828,0.255181567,0.255813953
71,0.299963469,0.300578035,0.566565168,0.567307692,0.290094931,0.290697674,0.275205092,0.275862069
72,0.290094931,0.290697674,0.552649625,0.553398058,0.319363856,0.32,0.255181567,0.255813953
73,0.290094931,0.290697674,0.559640869,0.560386473,0.309719135,0.310344828,0.285046067,0.285714286
74,0.299963469,0.300578035,0.54559046,0.546341463,0.328899513,0.329545455,0.285046067,0.285714286
75,0.290094931,0.290697674,0.54559046,0.546341463,0.328899513,0.329545455,0.265250914,0.265895954
76,0.299963469,0.300578035,0.54559046,0.546341463,0.238988574,0.239520958,0.323315698,0.324022346
77,0.299963469,0.300578035,0.54559046,0.546341463,0.299963469,0.300578035,0.285046067,0.285714286
78,0.290094931,0.290697674,0.559640869,0.560386473,0.299963469,0.300578035,0.285046067,0.285714286
79,0.290094931,0.290697674,0.559640869,0.560386473,0.238988574,0.239520958,0.265250914,0.265895954
80,0.290094931,0.290697674,0.566565168,0.567307692,0.270011315,0.270588235,0.332618613,0.333333333
81,0.290094931,0.290697674,0.54559046,0.546341463,0.238988574,0.239520958,0.332618613,0.333333333
82,0.290094931,0.290697674,0.54559046,0.546341463,0.280111552,0.280701754,0.323315698,0.324022346
83,0.299963469,0.300578035,0.54559046,0.546341463,0.280111552,0.280701754,0.31390876,0.314606742
84,0.299963469,0.300578035,0.54559046,0.546341463,0.319363856,0.32,0.285046067,0.285714286
85,0.290094931,0.290697674,0.566565168,0.567307692,0.290094931,0.290697674,0.323315698,0.324022346
86,0.299963469,0.300578035,0.559640869,0.560386473,0.328899513,0.329545455,0.332618613,0.333333333
87,0.290094931,0.290697674,0.559640869,0.560386473,0.328899513,0.329545455,0.244995043,0.245614035
88,0.290094931,0.290697674,0.478830741,0.479591837,0.290094931,0.290697674,0.294775759,0.295454545
89,0.299963469,0.300578035,0.494188443,0.494949495,0.328899513,0.329545455,0.323315698,0.324022346
90,0.299963469,0.300578035,0.478830741,0.479591837,0.328899513,0.329545455,0.31390876,0.314606742
