,Auto_Kappa,Auto_F1,IF_Kappa,IF_F1,OCSVM_Kappa,OCSVM_F1,Random_Kappa,Random_F1
0,0.11625418,0.120952963,0.150152998,0.151658768,0.726603616,0.727272727,0.328899513,0.329545455
1,0.11625418,0.120952963,0.150152998,0.151658768,0.720878073,0.721568627,0.328899513,0.329545455
2,0.11625418,0.120952963,0.150152998,0.151658768,0.701524788,0.702290076,0.328899513,0.329545455
3,0.11625418,0.120952963,0.150152998,0.151658768,0.757785065,0.758333333,0.328899513,0.329545455
4,0.11625418,0.120952963,0.150152998,0.151658768,0.742043817,0.742616034,0.328899513,0.329545455
5,0.11625418,0.120952963,0.149419999,0.150943396,0.757785065,0.758333333,0.309719135,0.310344828
6,0.11625418,0.120952963,0.150152998,0.151658768,0.757785065,0.758333333,0.290094931,0.290697674
7,0.11625418,0.120952963,0.150152998,0.151658768,0.683175513,0.68401487,0.328899513,0.329545455
8,0.11625418,0.120952963,0.053753483,0.058637084,0.722226888,0.722891566,0.328899513,0.329545455
9,0.11625418,0.120952963,0.053800738,0.058683584,0.742043817,0.742616034,0.328899513,0.329545455
10,0.11625418,0.120952963,0.053800738,0.058683584,0.752581733,0.753138075,0.328899513,0.329545455
11,0.11625418,0.120952963,0.053800738,0.058683584,0.742254901,0.742857143,0.328899513,0.329545455
12,0.11625418,0.120952963,0.053800738,0.058683584,0.752581733,0.753138075,0.328899513,0.329545455
13,0.11625418,0.120952963,0.053800738,0.058683584,0.747334833,0.74789916,0.328899513,0.329545455
14,0.11625418,0.120952963,0.053800738,0.058683584,0.720427264,0.721030043,0.328899513,0.329545455
15,0.11625418,0.120952963,0.053800738,0.058683584,0.726603616,0.727272727,0.328899513,0.329545455
16,0.11625418,0.120952963,0.053800738,0.058683584,0.76294537,0.763485477,0.328899513,0.329545455
17,0.11625418,0.120952963,0.053800738,0.058683584,0.742043817,0.742616034,0.299963469,0.300578035
18,0.11625418,0.120952963,0.053800738,0.058683584,0.742043817,0.742616034,0.309719135,0.310344828
19,0.11625418,0.120952963,0.053800738,0.058683584,0.752581733,0.753138075,0.299963469,0.300578035
20,0.11625418,0.120952963,0.053800738,0.058683584,0.752581733,0.753138075,0.290094931,0.290697674
21,0.11625418,0.120952963,0.053800738,0.058683584,0.742043817,0.742616034,0.290094931,0.290697674
22,0.11625418,0.120952963,0.053706302,0.058590657,0.736708125,0.737288136,0.328899513,0.329545455
23,0.11625418,0.120952963,0.053800738,0.058683584,0.731327189,0.731914894,0.319363856,0.32
24,0.11625418,0.120952963,0.053800738,0.058683584,0.736708125,0.737288136,0.328899513,0.329545455
25,0.11625418,0.120952963,0.053800738,0.058683584,0.725900432,0.726495726,0.299963469,0.300578035
26,0.11625418,0.120952963,0.053800738,0.058683584,0.704226195,0.704980843,0.319363856,0.32
27,0.11625418,0.120952963,0.053753483,0.058637084,0.706948313,0.707692308,0.319363856,0.32
28,0.11625418,0.120952963,0.053753483,0.058637084,0.718048737,0.71875,0.328899513,0.329545455
29,0.11625418,0.120952963,0.053800738,0.058683584,0.742254901,0.742857143,0.328899513,0.329545455
30,0.11625418,0.120952963,0.053800738,0.058683584,0.747334833,0.74789916,0.328899513,0.329545455
31,0.11625418,0.120952963,0.053800738,0.058683584,0.759779722,0.760330579,0.328899513,0.329545455
32,0.11625418,0.120952963,0.053800738,0.058683584,0.76294537,0.763485477,0.319363856,0.32
33,0.11625418,0.120952963,0.053800738,0.058683584,0.76294537,0.763485477,0.319363856,0.32
34,0.11625418,0.120952963,0.053800738,0.058683584,0.76294537,0.763485477,0.328899513,0.329545455
35,0.11625418,0.120952963,0.053800738,0.058683584,0.76294537,0.763485477,0.290094931,0.290697674
36,0.11625418,0.120952963,0.053800738,0.058683584,0.76294537,0.763485477,0.309719135,0.310344828
37,0.11625418,0.120952963,0.053800738,0.058683584,0.76294537,0.763485477,0.328899513,0.329545455
38,0.11625418,0.120952963,0.053800738,0.058683584,0.76294537,0.763485477,0.328899513,0.329545455
39,0.11625418,0.120952963,0.053800738,0.058683584,0.757785065,0.758333333,0.299963469,0.300578035
40,0.11625418,0.120952963,0.055199515,0.060273973,0.752581733,0.753138075,0.319363856,0.32
41,0.11625418,0.120952963,0.055199515,0.060273973,0.752581733,0.753138075,0.328899513,0.329545455
42,0.11625418,0.120952963,0.055166084,0.060240964,0.731327189,0.731914894,0.290094931,0.290697674
43,0.11625418,0.120952963,0.055199515,0.060273973,0.668978166,0.669642857,0.319363856,0.32
44,0.11625418,0.120952963,0.055166084,0.060240964,0.71490709,0.715517241,0.319363856,0.32
45,0.11625418,0.120952963,0.055166084,0.060240964,0.656980722,0.657657658,0.319363856,0.32
46,0.11625418,0.120952963,0.055199515,0.060273973,0.632328031,0.633027523,0.328899513,0.329545455
47,0.11625418,0.120952963,0.055199515,0.060273973,0.626023412,0.626728111,0.328899513,0.329545455
48,0.11625418,0.120952963,0.055166084,0.060240964,0.680764074,0.681415929,0.238988574,0.239520958
49,0.11625418,0.120952963,0.055166084,0.060240964,0.626023412,0.626728111,0.328899513,0.329545455
50,0.11625418,0.120952963,0.055199515,0.060273973,0.632328031,0.633027523,0.328899513,0.329545455
51,0.11625418,0.120952963,0.055166084,0.060240964,0.626023412,0.626728111,0.299963469,0.300578035
52,0.11625418,0.120952963,0.055199515,0.060273973,0.580216739,0.580952381,0.290094931,0.290697674
53,0.11625418,0.120952963,0.055199515,0.060273973,0.577450373,0.578199052,0.309719135,0.310344828
54,0.11625418,0.120952963,0.055199515,0.060273973,0.632328031,0.633027523,0.309719135,0.310344828
55,0.11625418,0.120952963,0.055166084,0.060240964,0.606757448,0.607476636,0.309719135,0.310344828
56,0.11625418,0.120952963,0.055199515,0.060273973,0.606757448,0.607476636,0.319363856,0.32
57,0.11625418,0.120952963,0.055166084,0.060240964,0.606757448,0.607476636,0.309719135,0.310344828
58,0.11625418,0.120952963,0.055166084,0.060240964,0.692343993,0.692982456,0.328899513,0.329545455
59,0.11625418,0.120952963,0.055166084,0.060240964,0.644765996,0.645454545,0.290094931,0.290697674
60,0.11625418,0.120952963,0.055166084,0.060240964,0.686579443,0.68722467,0.299963469,0.300578035
61,0.11625418,0.120952963,0.055199515,0.060273973,0.632328031,0.633027523,0.319363856,0.32
62,0.11625418,0.120952963,0.055166084,0.060240964,0.757785065,0.758333333,0.280111552,0.280701754
63,0.11625418,0.120952963,0.055199515,0.060273973,0.644765996,0.645454545,0.299963469,0.300578035
64,0.11625418,0.120952963,0.055199515,0.060273973,0.674897211,0.675555556,0.280111552,0.280701754
65,0.11625418,0.120952963,0.055199515,0.060273973,0.632328031,0.633027523,0.319363856,0.32
66,0.11625418,0.120952963,0.055199515,0.060273973,0.650900887,0.65158371,0.328899513,0.329545455
67,0.11625418,0.120952963,0.055199515,0.060273973,0.720427264,0.721030043,0.265250914,0.265895954
