,Knn_light_kappa,Knn_light_F1,Knn_gradient_kappa,Knn_gradient_F1,Knn_catboost_kappa,Knn_catboost_F1,light_gradient_kappa,light_gradient_F1,light_catboost_kappa,light_catboost_F1,gradient_catboost_kappa,gradient_catboost_F1,lg_gb_cb_kappa,lg_gb_cb_F1,Knn_gb_cb_kappa,Knn_gb_cb_F1,Knn_lg_cb_kappa,Knn_lg_cb_F1,Knn_lg_gb_kappa,Knn_lg_gb_F1,Knn_lg_gb_cb_kappa,Knn_lg_gb_cb_F1
0,0.619489551,0.621965318,0.619489551,0.621965318,0.619489551,0.621965318,0,0,0.712240263,0.713692946,0.715239664,0.716666667,0,0,0.716244977,0.717663421,0.715799701,0.717241379,0.71445359,0.715877437,0.71203433,0.713498623
1,0.650769387,0.652912621,0.650769387,0.652912621,0.650769387,0.652912621,0,0,0.712240263,0.713692946,0.715239664,0.716666667,0,0,0.716244977,0.717663421,0.714022418,0.715469613,0.71445359,0.715877437,0.710057068,0.711538462
2,0.65327429,0.655421687,0.65327429,0.655421687,0.65327429,0.655421687,0,0,0.712240263,0.713692946,0.716244977,0.717663421,0,0,0.723109933,0.724517906,0.721616852,0.723055935,0,0,0.725359508,0.726775956
3,0.666288628,0.668304668,0.666288628,0.668304668,0.666288628,0.668304668,0,0,0.717025046,0.718446602,0.71502055,0.716459198,0,0,0.723109933,0.724517906,0.718874161,0.720327422,0,0,0.725585718,0.727027027
4,0.666288628,0.668304668,0.666288628,0.668304668,0.66546038,0.667484663,0,0,0.716244977,0.717663421,0.716244977,0.717663421,0,0,0.723109933,0.724517906,0.719169475,0.720647773,0.71445359,0.715877437,0.724848553,0.726287263
5,0.66546038,0.667484663,0.66546038,0.667484663,0.699330666,0.701030928,0,0,0.716244977,0.717663421,0.718031432,0.719444444,0,0,0.731862443,0.733242134,0.716456137,0.717948718,0.534769366,0.536507937,0.721136704,0.722598106
6,0.700243585,0.701935484,0.700243585,0.701935484,0.700243585,0.701935484,0,0,0.716244977,0.717663421,0.719812976,0.721220527,0,0,0.734612571,0.735978112,0.722367704,0.723809524,0.534769366,0.536507937,0.722124282,0.723577236
7,0.700243585,0.701935484,0.700243585,0.701935484,0.703918746,0.705577173,0,0,0.716244977,0.717663421,0.718805526,0.720221607,0,0,0.727102234,0.72851296,0.725359508,0.726775956,0.71445359,0.715877437,0.723114516,0.724559023
8,0.700243585,0.701935484,0.700243585,0.701935484,0.705770544,0.707412224,0,0,0.71502055,0.716459198,0.721345073,0.722758621,0,0,0.729386597,0.730769231,0.728840253,0.730245232,0.71445359,0.715877437,0.724848553,0.726287263
9,0.700243585,0.701935484,0.700243585,0.701935484,0.705770544,0.707412224,0,0,0.716244977,0.717663421,0.719339729,0.720770289,0,0,0.728647734,0.730027548,0.725359508,0.726775956,0.71445359,0.715877437,0.722868745,0.724324324
